"タイムスタンプ","今日の開発対象は何でしたか？","OSS Gateについて、どうやって知りましたか？","OSS Gateに参加したのは何回目ですか？","OSS Gateに参加した目的は何でしたか？","OSS Gateに参加して、満足できましたか？","参加する前の想定と異なっていたことがあれば教えてください。","今日のワークショップの進め方について、気が付いたことがあれば教えてください。","今後のOSSへの開発に参加できそうですか？","今後、もしOSS Gateに参加したら、ビギナーではなく、メンターとして参加できると感じますか？","その他、気がついたことについて教えてください"
"2016/09/24 4:03:57 午後 GMT+9","groonga","SNS(Twitterなど）の宣伝をみたから","初めて","どういう風にOSSに参加すればいいかわからなかったから","5","","","機会があれば開発に参加したい（けど、まだできなさそう）","まだまだメンターになるのは難しいと思う",""
"2016/09/24 4:04:37 午後 GMT+9","D3.js","Doorkeeperで流れてきた","初めて","普段多忙で参加できなかったOSSのコントリビュートの感覚をつかみたかったから","4","","","機会を作って積極的に開発に参加したい","まだまだメンターになるのは難しいと思う",""
"2016/09/24 4:05:39 午後 GMT+9","gem devise","SNS(Twitterなど）の宣伝をみたから","初めて","OSSへの貢献の仕方を学ぶため","5","メンターの方が想定していたよりもたくさんいてありがたかったです。","フィードバック時にメンターの方を入れ替えましたが、ついてくださっていたメンターの方からのフィードバックも改めていただければと思いました。","機会があれば開発に参加したい","まだまだメンターになるのは難しいと思う","ありがとうございました。"
"2016/09/24 4:06:40 午後 GMT+9","okuribito","RubyKaigi などのカンファレンスで聞いたから","初めて","OSSに参加する一通りの流れを知りたかったため","4","導入がうまく行かなかったり、READMEが間違っているだけでもプルリクエストなげてもよいこと","実際にOSSのコードを修正したい人と、何もない状態からOSSに参加する人とでわけてもよいのかな、と思いました。","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う",""
"2016/09/24 4:08:10 午後 GMT+9","mdadm","知り合いから教えてもらったから","初めて","OSSが同運営されているか、OSSのコミュニティへの参加方法を知りたかった","5","修正履歴やドキュメントが、それほどきちんと管理されているわけではない。","役割や名前がわかるように名札があると良いと思います。
自己紹介の時間はありますが、いっぺんに名前を覚えられないので。","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う","同じような仕事をしている人が集まる場なので、コミュニケーションや情報交換の場
としても、とても有意義な時間でした。"
"2016/09/24 4:09:13 午後 GMT+9","RMagick","知り合いから教えてもらったから","初めて","OSS開発のプロセスを知りたかった","5","意外とサポートが手厚かった。","メモをこまめに残すのが思考の整理や問題発見にとても役立ったので、メンターの方はあまりメモを取ってないビギナーにメモを取るように促したほうが良いかも","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う",""
"2016/09/24 4:10:08 午後 GMT+9","Rubyのpdf-readerというgem","RubyKaigi などのカンファレンスで聞いたから","初めて","OSSの開発に参加したい","5","特になし","特になし","機会を作って積極的に開発に参加したい","まだまだメンターになるのは難しいと思う","英語ができずプルリクエストできなかった。
日本語ではやったことあるので、英語の定型文があると良い。"
"2016/09/24 4:10:23 午後 GMT+9","Selenium","知り合いから教えてもらったから","初めて","OSSの見識を広げるため。OSS開発の参入を知るため。","5","特になし（想定していた内容だった）","","機会があれば開発に参加したい","まだまだメンターになるのは難しいと思う","シナリオのページや過去のissueやレポートが公開されていたことで、事前に当日の様子が掴むことができてよかった"
"2016/09/24 4:12:43 午後 GMT+9","opal, opal-router","RubyKaigi などのカンファレンスで聞いたから","初めて","Opalの開発にコントリビュートしてみたかったけど不安があったから","5","思っていたよりも手厚く見てもらえたのでよかったです。","ふりかえりで人を変えたり、いろいろな人からアドバイスがもらえたのでよかったです。いろいろな人に見てもらえる仕組みは良いと思いました。","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う","やることは分っているけど、やっぱり英語の壁が大きいなと感じました。"
"2016/09/24 4:12:46 午後 GMT+9","https://github.com/hogelog/dmemo （データベースドキュメント管理のためのアプリケーション）","SNS(Twitterなど）の宣伝をみたから","初めて","OSS開発のプロセス、勘所を知るため。","5","OSS開発に対するハードルが思った以上に下がった気がします。
公開しているからといって、そのソフトウェアが完璧なわけではなく、触ると意外なほどにcontributionの種が見つかるものだなぁと少し驚きました。","今回のようなissue管理はいいなと思いました。他の方の対象OSSや作業プロセスが追えるので、追体験できる感じで読めて楽しいです。","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う",""
"2016/09/24 4:14:32 午後 GMT+9","boostnote","過去のOSS Gateの記事（blogなど）を見たから","初めて","OSS参加方法が分からなかったため、経験者のレクチャーを受けながら参加方法を学びたかったため。","5","OSS開発はソースコードを書く必要があると思っていたが、ドキュメントの編集や改善の指摘だけでも十分貢献できるということ。","","機会を作って積極的に開発に参加したい","まだまだメンターになるのは難しいと思う","経験者がそばにいて、わからないことはすぐ質問が出来たことで、OSS開発参加の敷居が物凄く下がり、助かりました。"
"2016/09/24 4:14:33 午後 GMT+9","string.js","知り合いから教えてもらったから","初めて","知人からの勧めで参加しました。","1","みなさん、フレンドリーでした。","特にありません。","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う","特にありません。"
"2016/09/24 4:15:57 午後 GMT+9","embulk","http://www.slideshare.net/kou/lets-boot-oss-gate","初めて","OSS参加の経験をすること。OSS参加の不安を少なくすること。","4","「OSS参加＝コードを書く」だけではないこと。思っていたより英語ができなかったこと。伝えることが難しい。","どうやってメンターさんの参加メリットを出すかが課題だと思いました。","機会を作って積極的に開発に参加したい","まだまだメンターになるのは難しいと思う","プルリクまでの流れを経験できて漠然とした不安は減ったが、英語での説明に手間取り別の不安を感じました。が、ある程度パターンはあると思うので他人のコミットメッセージ等を読んで慣れようと思います。"
"2016/09/24 4:16:00 午後 GMT+9","echo (goのWeb Framework)","過去のOSS Gateの記事（blogなど）を見たから","初めて","OSSに貢献するというのがどういうものか知りたかったのと、OSS Gateの取り組みに興味があったため。","5","","課題は自由になっていましたが、体験ということを考えると、できれば皆IssueなりPull Requestを登録するところまで行けるような課題にできると良いと思いました。","機会を作って積極的に開発に参加したい","すぐではないが、いつかはメンターになれると思う",""
"2016/09/25 9:31:00 午後 GMT+9","ﾚﾎﾟｰﾀｰ","知り合いから教えてもらったから","初めて","レポートの作成","5","なし","なし","機会を作って積極的に開発に参加したい","わからない","レポートを作成するために、ダミーでアンケートに回答しています。このデータは不要だと思いますので、お手数ですが削除ください"